Timestamp,Yaw,Pitch,Roll,V_Yaw,V_Pitch,V_Roll
2026-02-13T23:13:47.053793+00:00,1.4,179.9,0,-8,9,-7
2026-02-13T23:13:47.091212+00:00,1.4,-179.9,0,5,14,15
2026-02-13T23:13:47.130213+00:00,1.6,-179.9,0,-40,3,10
2026-02-13T23:13:47.171506+00:00,1.6,-179.9,0,16,3,-31
2026-02-13T23:13:47.211136+00:00,1.7,179.9,0,-15,3,13
2026-02-13T23:13:47.248194+00:00,2.8,179.9,0,-15,4,11
2026-02-13T23:13:47.293357+00:00,4.1,-179.9,0,-14,-7,2
2026-02-13T23:13:47.328151+00:00,5.2,-179.9,0,-20,-5,20
2026-02-13T23:13:47.373384+00:00,5.6,179.9,0,-24,4,-25
2026-02-13T23:13:47.411621+00:00,7.1,-179.9,0,-34,8,13
2026-02-13T23:13:47.448174+00:00,8.1,-179.9,0,-53,-10,1
2026-02-13T23:13:47.490637+00:00,8.9,179.9,0,-66,2,0
2026-02-13T23:13:47.532455+00:00,9.4,-179.9,0,-74,4,13
2026-02-13T23:13:47.574528+00:00,9.8,-179.9,0,-82,1,5
2026-02-13T23:13:47.614164+00:00,10.1,-179.9,0,-89,-3,2
2026-02-13T23:13:47.651568+00:00,10,179.9,0,-97,2,-1
2026-02-13T23:13:47.693525+00:00,9.4,179.9,0,-91,5,22
2026-02-13T23:13:47.734413+00:00,9.1,-179.9,0,-84,0,15
2026-02-13T23:13:47.775579+00:00,8.8,-179.9,0,-74,5,-5
2026-02-13T23:13:47.814411+00:00,9.2,-179.9,0,-87,-2,-2
2026-02-13T23:13:47.854513+00:00,9.3,-179.9,0,-77,-8,-1
2026-02-13T23:13:47.896370+00:00,8.8,179.9,0,-78,5,1
2026-02-13T23:13:47.935071+00:00,8.3,-179.9,0,-87,-2,-10
2026-02-13T23:13:47.976504+00:00,7.6,-179.9,0,-58,-8,13
2026-02-13T23:13:48.016828+00:00,5.8,-179.9,0,-55,5,12
2026-02-13T23:13:48.056719+00:00,2.9,179.9,0,-17,1,10
2026-02-13T23:13:48.096332+00:00,0.6,-179.9,0,-3,0,-5
2026-02-13T23:13:48.137526+00:00,-0.3,-179.9,0,1,0,2
2026-02-13T23:13:48.177335+00:00,-0.3,-179.9,0,9,-3,0
2026-02-13T23:13:48.216641+00:00,-0.6,179.9,0,8,-7,-4
2026-02-13T23:13:48.256316+00:00,-0.3,179.9,0,1,-5,3
2026-02-13T23:13:48.296502+00:00,0,-179.9,0,1,30,13
2026-02-13T23:13:48.337590+00:00,0.2,-179.9,0,5,-4,0
2026-02-13T23:13:48.376142+00:00,0,-179.9,0,1,-4,8
2026-02-13T23:13:48.416622+00:00,0,-179.9,0,7,-3,0
2026-02-13T23:13:48.456600+00:00,1.3,179.9,0,5,-1,-3
2026-02-13T23:13:48.497681+00:00,2,-179.9,0,-3,1,0
2026-02-13T23:13:48.536618+00:00,2.5,-179.9,0,-1,-2,0
2026-02-13T23:13:48.578590+00:00,3.4,179.9,0,-9,0,0
2026-02-13T23:13:48.617883+00:00,4.6,179.9,0,-18,0,3
2026-02-13T23:13:48.657956+00:00,6,-179.9,0,-9,1,17
2026-02-13T23:13:48.697644+00:00,7.3,-179.9,0,-81,3,-31
2026-02-13T23:13:48.738233+00:00,7.3,-179.9,0,-50,-3,19
2026-02-13T23:13:48.776739+00:00,8.8,179.9,0,-58,0,-7
2026-02-13T23:13:48.816972+00:00,10.4,179.9,0,-86,0,0
2026-02-13T23:13:48.857826+00:00,11,179.9,0,-105,11,3
2026-02-13T23:13:48.897590+00:00,11.3,179.9,0,-113,2,-5
2026-02-13T23:13:48.937123+00:00,10.1,-179.9,0,-116,6,-4
2026-02-13T23:13:48.976680+00:00,8.6,-179.9,0,-79,-8,1
2026-02-13T23:13:49.018531+00:00,7,179.9,0,-58,3,5
2026-02-13T23:13:49.056530+00:00,6.5,179.9,0,-30,0,15
2026-02-13T23:13:49.098609+00:00,6.6,-179.9,0,-43,3,-12
2026-02-13T23:13:49.138757+00:00,6.1,-179.9,0,-41,-5,5
2026-02-13T23:13:49.178542+00:00,6,-179.9,0,-39,-6,0
2026-02-13T23:13:49.218691+00:00,5.8,-179.9,0,-35,3,2
2026-02-13T23:13:49.258872+00:00,5.7,179.9,0,-26,-14,0
2026-02-13T23:13:49.297803+00:00,6.1,179.9,0,-32,2,-8
2026-02-13T23:13:49.339583+00:00,6.9,179.9,0,-40,4,6
2026-02-13T23:13:49.378659+00:00,8,179.9,0,-57,0,-5
2026-02-13T23:13:49.418597+00:00,9.2,179.9,0,-70,2,2
2026-02-13T23:13:49.460125+00:00,10.4,179.9,0,-94,0,1
2026-02-13T23:13:49.499898+00:00,11.6,179.9,0,-130,4,-11
2026-02-13T23:13:49.540293+00:00,14,179.9,0,-156,3,3
